code,name,line,address,latitude,longitude,type,,insert,insert query,"현재 위도,경도,지도 값 비어있으면 안나오게 필터 걸어놓음"
333,매봉,3,서울특별시 강남구 남부순환로 지하 2744,37.486947,127.046769,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.486947, 127.046769,  ""매봉"",  ""서울특별시 강남구 남부순환로 지하 2744"", 333, ""3"");",
1870,매탄권선,B,경기도 수원시 영통구 권선로 지하 841,37.252759,127.040566,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.252759, 127.040566,  ""매탄권선"",  ""경기도 수원시 영통구 권선로 지하 841"", 1870, ""B"");",
2720,먹골,7,서울특별시 중랑구 동일로 지하 901,37.610637,127.077725,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.610637, 127.077725,  ""먹골"",  ""서울특별시 중랑구 동일로 지하 901"", 2720, ""7"");",
2723,면목,7,서울특별시 중랑구 면목로 지하 407,37.588579,127.087503,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.588579, 127.087503,  ""면목"",  ""서울특별시 중랑구 면목로 지하 407"", 2723, ""7"");",
424,명동,4,서울특별시 중구 퇴계로 지하 126,37.560989,126.986325,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.560989, 126.986325,  ""명동"",  ""서울특별시 중구 퇴계로 지하 126"", 424, ""4"");",
2552,명일,5,서울특별시 강동구 양재대로 지하 1632,37.55137,127.143999,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.55137, 127.143999,  ""명일"",  ""서울특별시 강동구 양재대로 지하 1632"", 2552, ""5"");",
4510,명지대,E,경기도 용인시 처인구 금학로 241,37.237964,127.190294,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.237964, 127.190294,  ""명지대"",  ""경기도 용인시 처인구 금학로 241"", 4510, ""E"");",
1707,명학,1,경기도 안양시 만안구 만안로 20,37.384653,126.935433,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.384653, 126.935433,  ""명학"",  ""경기도 안양시 만안구 만안로 20"", 1707, ""1"");",
1853,모란,B,경기도 성남시 중원구 성남대로 지하 1147,37.43213,127.129087,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.43213, 127.129087,  ""모란"",  ""경기도 성남시 중원구 성남대로 지하 1147"", 1853, ""B"");",
2827,모란,8,경기도 성남시 수정구 산성대로 지하 100,37.43213,127.129087,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.43213, 127.129087,  ""모란"",  ""경기도 성남시 수정구 산성대로 지하 100"", 2827, ""8"");",
3223,모래내시장,I2,인천광역시 남구 구월동 341-6,37.45583,126.719298,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.45583, 126.719298,  ""모래내시장"",  ""인천광역시 남구 구월동 341-6"", 3223, ""I2"");",
2521,목동,5,서울특별시 양천구 오목로 지하 245,37.526065,126.864931,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.526065, 126.864931,  ""목동"",  ""서울특별시 양천구 오목로 지하 245"", 2521, ""5"");",
2814,몽촌토성,8,서울특별시 송파구 올림픽로 지하 383,37.517409,127.112359,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.517409, 127.112359,  ""몽촌토성"",  ""서울특별시 송파구 올림픽로 지하 383"", 2814, ""8"");",
315,무악재,3,서울특별시 서대문구 통일로 지하 361,37.582299,126.950291,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.582299, 126.950291,  ""무악재"",  ""서울특별시 서대문구 통일로 지하 361"", 315, ""3"");",
235,문래,2,서울특별시 영등포구 당산로 지하 28,37.517933,126.89476,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.517933, 126.89476,  ""문래"",  ""서울특별시 영등포구 당산로 지하 28"", 235, ""2"");",
1284,문산,K,경기도 파주시 문산읍 문산역로 94,37.854619,126.788047,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.854619, 126.788047,  ""문산"",  ""경기도 파주시 문산읍 문산역로 94"", 1284, ""K"");",
2819,문정,8,서울특별시 송파구 송파대로 지하 179,37.485855,127.1225,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.485855, 127.1225,  ""문정"",  ""서울특별시 송파구 송파대로 지하 179"", 2819, ""8"");",
3127,문학경기장,I,인천광역시 연수구 예술로 지하 2,37.434935,126.698579,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.434935, 126.698579,  ""문학경기장"",  ""인천광역시 연수구 예술로 지하 2"", 3127, ""I"");",
1858,미금,B,경기도 성남시 분당구 성남대로 지하 156,37.350077,127.10891,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.350077, 127.10891,  ""미금"",  ""경기도 성남시 분당구 성남대로 지하 156"", 1858, ""B"");",
415,미아,4,서울특별시 강북구 도봉로 지하 198,37.62667,127.025983,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.62667, 127.025983,  ""미아"",  ""서울특별시 강북구 도봉로 지하 198"", 415, ""4"");",
416,미아사거리,4,서울특별시 강북구 도봉로 지하 50,37.613292,127.030053,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.613292, 127.030053,  ""미아사거리"",  ""서울특별시 강북구 도봉로 지하 50"", 416, ""4"");",
3112,박촌,I,인천광역시 계양구 장제로 지하 992,37.553703,126.745077,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.553703, 126.745077,  ""박촌"",  ""인천광역시 계양구 장제로 지하 992"", 3112, ""I"");",
1753,반월,4,경기도 안산시 상록구 건건로 119-10,37.312212,126.903524,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.312212, 126.903524,  ""반월"",  ""경기도 안산시 상록구 건건로 119-10"", 1753, ""4"");",
2735,반포,7,서울특별시 서초구 신반포로 지하 241,37.508178,127.011727,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.508178, 127.011727,  ""반포"",  ""서울특별시 서초구 신반포로 지하 241"", 2735, ""7"");",
4601,발곡,U,경기도 의정부시 장곡로 258,37.727048,127.052803,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.727048, 127.052803,  ""발곡"",  ""경기도 의정부시 장곡로 258"", 4601, ""U"");",
